Topic 0;Topic 1;Topic 2;Topic 3;Topic 4;Topic 5
0.0;0.0;0.08746080845594406;0.9055301547050476;0.0;0.0
0.5106826424598694;0.0;0.4803434908390045;0.0;0.0;0.0
0.0;0.0;0.9887843728065491;0.0;0.0;0.0
0.0;0.0;0.9938544034957886;0.0;0.0;0.0
0.0;0.0;0.4859006404876709;0.5084851980209351;0.0;0.0
0.0;0.0;0.0;0.9920541048049927;0.0;0.0
0.0;0.9948093891143799;0.0;0.0;0.0;0.0
0.0;0.0;0.9907801151275635;0.0;0.0;0.0
0.0;0.0;0.28592008352279663;0.71083003282547;0.0;0.0
0.0;0.0;0.0;0.0;0.9909663200378418;0.0
0.9897562265396118;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.9939506649971008;0.0;0.0;0.0
0.0;0.9910599589347839;0.0;0.0;0.0;0.0
0.0;0.9944314360618591;0.0;0.0;0.0;0.0
0.0;0.993226170539856;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.995600163936615
0.0;0.0;0.0;0.0;0.9958142638206482;0.0
0.0;0.0;0.11942627280950546;0.0;0.8744077682495117;0.0
0.0;0.0;0.9960801005363464;0.0;0.0;0.0
0.0;0.0;0.9892205595970154;0.0;0.0;0.0
0.0;0.0;0.0;0.9933416843414307;0.0;0.0
0.0;0.0;0.9975726008415222;0.0;0.0;0.0
0.0;0.9942110776901245;0.0;0.0;0.0;0.0
0.9901348948478699;0.0;0.0;0.0;0.0;0.0
0.0;0.9945008158683777;0.0;0.0;0.0;0.0
0.0;0.9930594563484192;0.0;0.0;0.0;0.0
0.0;0.0;0.30967679619789124;0.6789090633392334;0.0;0.0
0.0;0.0;0.9891077280044556;0.0;0.0;0.0
0.0;0.0;0.7194828391075134;0.27260327339172363;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.9955532550811768
0.0;0.0;0.0;0.9985756278038025;0.0;0.0
0.0;0.9916067719459534;0.0;0.0;0.0;0.0
0.0;0.0;0.9945875406265259;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.9898731708526611
0.0;0.0;0.9939504265785217;0.0;0.0;0.0
0.0;0.0;0.0;0.9954119324684143;0.0;0.0
